Edad,Ano ,Origen,lx
50,2018,Espana,619499
51,2018,Espana,608162
52,2018,Espana,606636
53,2018,Espana,620561
54,2018,Espana,591265
55,2018,Espana,574911
56,2018,Espana,567841
57,2018,Espana,572132
58,2018,Espana,559766
59,2018,Espana,548414
60,2018,Espana,537058
61,2018,Espana,499117
62,2018,Espana,485237
63,2018,Espana,462161
64,2018,Espana,464760
65,2018,Espana,462286
66,2018,Espana,432020
67,2018,Espana,419528
68,2018,Espana,437642
69,2018,Espana,457457
70,2018,Espana,413338
71,2018,Espana,393080
72,2018,Espana,411578
73,2018,Espana,386021
74,2018,Espana,377298
75,2018,Espana,318796
76,2018,Espana,289830
77,2018,Espana,353890
78,2018,Espana,224832
79,2018,Espana,253316
80,2018,Espana,278727
81,2018,Espana,296077
82,2018,Espana,277090
83,2018,Espana,262290
84,2018,Espana,253527
85,2018,Espana,234637
86,2018,Espana,204677
87,2018,Espana,186685
88,2018,Espana,158681
89,2018,Espana,138232
90,2018,Espana,493548
0,2019,Espana,367220
1,2019,Espana,388026
2,2019,Espana,403983
3,2019,Espana,411364
4,2019,Espana,416567
5,2019,Espana,412695
6,2019,Espana,438696
7,2019,Espana,452457
8,2019,Espana,461251
9,2019,Espana,469451
10,2019,Espana,492198
11,2019,Espana,471319
12,2019,Espana,464293
13,2019,Espana,450148
14,2019,Espana,440892
15,2019,Espana,428593
16,2019,Espana,407349
17,2019,Espana,398231
18,2019,Espana,391636
19,2019,Espana,375863
20,2019,Espana,361534
21,2019,Espana,364817
22,2019,Espana,358836
23,2019,Espana,358317
24,2019,Espana,363611
25,2019,Espana,378814
26,2019,Espana,392085
27,2019,Espana,389521
28,2019,Espana,393050
29,2019,Espana,399579
30,2019,Espana,406972
31,2019,Espana,413045
32,2019,Espana,425287
33,2019,Espana,441584
34,2019,Espana,460430
35,2019,Espana,478082
36,2019,Espana,506725
37,2019,Espana,534085
38,2019,Espana,562863
39,2019,Espana,585564
40,2019,Espana,619721
41,2019,Espana,631897
42,2019,Espana,649654
43,2019,Espana,647231
44,2019,Espana,644381
45,2019,Espana,631152
46,2019,Espana,629070
47,2019,Espana,622234
48,2019,Espana,613417
49,2019,Espana,611656
50,2019,Espana,607903
51,2019,Espana,618042
52,2019,Espana,606524
53,2019,Espana,604734
54,2019,Espana,618534
55,2019,Espana,589082
56,2019,Espana,572754
57,2019,Espana,565511
58,2019,Espana,569493
59,2019,Espana,557038
60,2019,Espana,545419
61,2019,Espana,534007
62,2019,Espana,495919
63,2019,Espana,482030
64,2019,Espana,458749
65,2019,Espana,461193
66,2019,Espana,458438
67,2019,Espana,428162
68,2019,Espana,415426
69,2019,Espana,432923
70,2019,Espana,452041
71,2019,Espana,407993
72,2019,Espana,387536
73,2019,Espana,405223
74,2019,Espana,379358
75,2019,Espana,370252
76,2019,Espana,312019
77,2019,Espana,282909
78,2019,Espana,344213
79,2019,Espana,217840
80,2019,Espana,244313
81,2019,Espana,267652
82,2019,Espana,282557
83,2019,Espana,262797
84,2019,Espana,247115
85,2019,Espana,236412
86,2019,Espana,216879
87,2019,Espana,186749
88,2019,Espana,168206
89,2019,Espana,140806
90,2019,Espana,517445
0,2020,Espana,358540
1,2020,Espana,365085
2,2020,Espana,386411
3,2020,Espana,402359
4,2020,Espana,410058
5,2020,Espana,415378
6,2020,Espana,411568
7,2020,Espana,437830
8,2020,Espana,451197
9,2020,Espana,460807
10,2020,Espana,468875
11,2020,Espana,491200
12,2020,Espana,470283
13,2020,Espana,463345
14,2020,Espana,449187
15,2020,Espana,440211
16,2020,Espana,427831
17,2020,Espana,406537
18,2020,Espana,397536
19,2020,Espana,390971
20,2020,Espana,375072
21,2020,Espana,360699
22,2020,Espana,364376
23,2020,Espana,358206
24,2020,Espana,357690
25,2020,Espana,362787
26,2020,Espana,377759
27,2020,Espana,390826
28,2020,Espana,388415
29,2020,Espana,391931
30,2020,Espana,398536
31,2020,Espana,405951
32,2020,Espana,412097
33,2020,Espana,424511
34,2020,Espana,440845
35,2020,Espana,459943
36,2020,Espana,477613
37,2020,Espana,506199
38,2020,Espana,533520
39,2020,Espana,562227
40,2020,Espana,584876
41,2020,Espana,618960
42,2020,Espana,631005
43,2020,Espana,648846
44,2020,Espana,646482
45,2020,Espana,643469
46,2020,Espana,630318
47,2020,Espana,628053
48,2020,Espana,621209
49,2020,Espana,612228
50,2020,Espana,610354
51,2020,Espana,606418
52,2020,Espana,616459
53,2020,Espana,604826
54,2020,Espana,602884
55,2020,Espana,616363
56,2020,Espana,586871
57,2020,Espana,570308
58,2020,Espana,563238
59,2020,Espana,566769
60,2020,Espana,554226
61,2020,Espana,542333
62,2020,Espana,530629
63,2020,Espana,492565
64,2020,Espana,478749
65,2020,Espana,455150
66,2020,Espana,457432
67,2020,Espana,454329
68,2020,Espana,424128
69,2020,Espana,411087
70,2020,Espana,428023
71,2020,Espana,446462
72,2020,Espana,402310
73,2020,Espana,381592
74,2020,Espana,398399
75,2020,Espana,372206
76,2020,Espana,362630
77,2020,Espana,304908
78,2020,Espana,275733
79,2020,Espana,334266
80,2020,Espana,210670
81,2020,Espana,235049
82,2020,Espana,256062
83,2020,Espana,268605
84,2020,Espana,248192
85,2020,Espana,231454
86,2020,Espana,219102
87,2020,Espana,198822
88,2020,Espana,169236
89,2020,Espana,150125
90,2020,Espana,544475
0,2021,Espana,338084
1,2021,Espana,358915
2,2021,Espana,362397
3,2021,Espana,384239
4,2021,Espana,401126
5,2021,Espana,408954
6,2021,Espana,414347
7,2021,Espana,410623
